season,season_type,team,player_id,qb,rank,qbr,plays,pts_added,epa_total
2025,Regular,SF,4241464,Mac Jones,10.0,62.3,344,12.1,42.6
2025,Regular,HOU,4432577,C.J. Stroud,11.0,61.7,519,17.2,63.5
2025,Regular,TB,3052587,Baker Mayfield,12.0,61.3,676,19.6,80.8
2025,Regular,LAC,4038941,Justin Herbert,13.0,60.6,688,23.0,85.3
2025,Regular,JAX,4360310,Trevor Lawrence,14.5,58.3,727,14.8,77.2
2025,Regular,DEN,4426338,Bo Nix,14.5,58.3,753,21.7,89.2
2025,Regular,CHI,4431611,Caleb Williams,16.0,58.2,704,15.8,79.8
2025,Regular,NYG,4689114,Jaxson Dart,17.0,57.5,506,10.2,53.6
2025,Regular,DET,3046779,Jared Goff,18.0,57.3,659,16.2,74.2
2025,Regular,SEA,3912547,Sam Darnold,19.0,55.6,568,9.8,60.2
2025,Regular,PHI,4040715,Jalen Hurts,20.0,55.2,624,12.4,69.1
2025,Regular,NO,4360689,Tyler Shough,21.0,48.8,420,1.9,37.6
2025,Regular,CAR,4685720,Bryce Young,22.0,47.6,591,-1.2,51.6
2025,Regular,PIT,8439,Aaron Rodgers,23.0,44.4,569,-12.5,40.5
2025,Regular,ARI,2578570,Jacoby Brissett,24.0,41.2,592,-12.4,36.9
2025,Regular,CIN,11252,Joe Flacco,25.0,41.0,481,-8.7,35.1
2025,Regular,MIA,4241479,Tua Tagovailoa,26.0,37.5,461,-17.5,24.0
2025,Regular,LV,15864,Geno Smith,27.0,34.1,575,-28.7,24.0
2025,Regular,TEN,4688380,Cam Ward,28.0,33.2,672,-38.5,22.7
2025,Regular,BUF,3915411,Ty Johnson,,100.0,1,1.3,1.4
2025,Regular,CHI,3915416,DJ Moore,,100.0,1,1.8,1.9
2025,Regular,NYG,4040761,Devin Singletary,,100.0,3,2.7,2.4
2025,Regular,NYJ,4427366,Breece Hall,,100.0,1,1.3,1.4
2025,Regular,SEA,4240021,Cam Akers,,100.0,1,0.6,0.7
2025,Regular,CAR,4683243,Mitchell Evans,,99.9,1,0.5,0.6
2025,Regular,BAL,3116365,Mark Andrews,,99.1,11,3.7,4.2
2025,Regular,GB,4242512,Malik Willis,,93.1,59,11.3,16.4
2025,Regular,BUF,3039707,Mitchell Trubisky,,91.4,39,7.7,7.4
2025,Regular,CLE,5083076,Harold Fannin Jr.,,90.1,2,0.4,0.5
2025,Regular,NYG,4424106,Gunner Olszewski,,88.7,2,0.3,0.5
2025,Regular,PIT,4241961,Connor Heyward,,88.0,15,2.2,3.6
2025,Regular,JAX,3059989,Nick Mullens,,85.8,3,0.5,0.2
2025,Regular,GB,4431487,Savion Williams,,81.1,3,0.3,0.5
2025,Regular,BAL,4035671,Tyler Huntley,,80.8,103,11.4,18.9
2025,Regular,MIN,4360569,Jordan Mason,,79.6,1,0.1,0.2
2025,Regular,NE,4569173,Rhamondre Stevenson,,75.7,3,0.3,0.6
2025,Regular,IND,4683423,Riley Leonard,,72.7,80,2.9,8.6
2025,Regular,NE,3044720,Joshua Dobbs,,72.3,11,0.9,0.6
2025,Regular,SEA,4576297,AJ Barner,,69.4,14,0.8,1.7
2025,Regular,NYG,2969939,Jameis Winston,,68.5,81,4.5,12.3
2025,Regular,WAS,4575131,Jacory Croskey-Merritt,,64.3,2,0.1,0.2
2025,Regular,CIN,3915511,Joe Burrow,,63.0,318,9.6,38.0
2025,Regular,DEN,4568490,RJ Harvey,,59.6,4,0.2,0.6
2025,Regular,TB,4596448,Bucky Irving,,58.7,4,0.1,0.5
2025,Regular,ATL,4360423,Michael Penix Jr.,,57.9,330,7.8,38.6
2025,Regular,WAS,11394,Josh Johnson,,55.6,79,1.9,9.0
2025,Regular,ATL,4034948,Feleipe Franks,,54.7,3,0.0,0.2
2025,Regular,DAL,4360698,Joe Milton III,,52.8,30,0.4,1.8
2025,Regular,NYJ,14163,Tyrod Taylor,,50.9,184,1.3,16.6
